name,city,county,email_verifie,personne_nommee,fiabilite,telephone
The Painswick,Painswick,Gloucestershire,enquiries@thepainswick.co.uk,,verifie sur site officiel,01452 813688
Ellenborough Park,Cheltenham,Gloucestershire,reservations@ellenboroughpark.com,,verifie sur site officiel,01242 545454
Calcot & Spa,Tetbury,Gloucestershire,reservations@calcot.co,,verifie sur site officiel,01666 890391
Barnsley House,Cirencester,Gloucestershire,reservations@barnsleyhouse.com,,recherche web (non verifie sur site),01285 740000
Thyme,Southrop,Gloucestershire,reservations@thyme.co.uk,Caryn Hibbert (Fondatrice & Directrice creative),verifie sur site officiel,01367 850174
Buckland Manor,Buckland,Gloucestershire,info@bucklandmanor.co.uk,,recherche web (non verifie sur site),01386 852626
Cowley Manor,Cowley,Gloucestershire,stay@cowleymanor.com,,verifie sur site officiel,01242 870900
The Bear of Rodborough,Stroud,Gloucestershire,,,email protege - contact via formulaire du site,01453 878522
Corse Lawn House Hotel,Corse Lawn,Gloucestershire,enquiries@corselawn.com,,verifie sur site officiel,01452 780771
Charingworth Manor,Chipping Campden,Gloucestershire,,,email non trouve - contact par telephone,01386 593555
Dumbleton Hall,Dumbleton,Gloucestershire,info@dumbletonhall.co.uk,,recherche web (non verifie sur site),01386 881240
The Slaughters Country Inn,Lower Slaughter,Gloucestershire,info@theslaughtersinn.co.uk,,recherche web (non verifie sur site),01451 822143
Lords of the Manor,Upper Slaughter,Gloucestershire,reservations@lordsofthemanor.com,,recherche web (non verifie sur site),01451 820243
The Slaughters Manor House,Lower Slaughter,Gloucestershire,info@slaughtersmanor.co.uk,,recherche web (non verifie sur site),01451 820456
Dormy House,Broadway,Worcestershire,reception@dormyhouse.co.uk,,recherche web (non verifie sur site),01386 852711
